Time,Iteration,#Processors
0.04434157,8,27
0.06610712,9,27
0.04768301,10,27
0.04514097,11,27
0.03064792,12,27
0.02051420,13,27
0.04853757,14,27
0.03186780,15,27
0.05189448,16,27
0.04696154,17,27
0.02170385,18,27
0.06109302,19,27
0.03821353,20,27
0.03057255,21,27
0.05066307,22,27
0.06086915,23,27
0.03353834,24,27
0.03373267,25,27
0.06800552,26,27
0.05653059,27,27
0.04819167,28,27
0.04074913,29,27
0.03148640,30,27
0.04900788,31,27
0.05409111,32,27
0.03588925,33,27
0.07058145,34,27
0.05267120,35,27
0.07410500,36,27
0.02672725,37,27
0.05804003,38,27
0.03962295,39,27
0.04840238,40,27
0.03423469,41,27
0.02249826,42,27
0.03639650,43,27
0.04494227,44,27
0.02546382,45,27
0.06561013,46,27
0.03441781,47,27
0.05749753,48,27
0.07664446,49,27
0.02397377,50,27
0.01981387,1,28
0.01560817,2,28
0.06603125,3,28
0.05710344,4,28
0.04977595,5,28
0.08518252,6,28
0.05613317,7,28
0.06005591,8,28
0.06350467,9,28
0.03003249,10,28
0.03911982,11,28
0.03355808,12,28
0.03466801,13,28
0.04461892,14,28
0.03464103,15,28
0.02165336,16,28
0.04592403,17,28
0.06893505,18,28
0.05033576,19,28
0.02589596,20,28
0.05901331,21,28
0.02499614,22,28
0.02512009,23,28
0.02938070,24,28
0.03758237,25,28
0.02789690,26,28
0.05489026,27,28
0.02788177,28,28
0.02310503,29,28
0.04517961,30,28
0.04238905,31,28
0.05628529,32,28
0.08437330,33,28
0.05927897,34,28
0.05247696,35,28
0.04344836,36,28
0.02237204,37,28
0.07700666,38,28
0.02785629,39,28
0.06680115,40,28
0.03191420,41,28
0.02631239,42,28
